time[s], wr_x[mm], wr_y[mm] 
6.8116,443.7562,610.5587
6.8360,446.4879,609.0929
6.8367,449.2709,607.5435
6.8418,451.9712,606.0930
6.8776,456.9866,602.8895
6.8786,459.3925,601.4744
6.8816,461.7346,600.0101
6.8918,464.1686,598.3886
6.9087,466.6236,596.9774
6.9117,469.1259,595.4171
6.9215,471.7170,593.7544
6.9403,474.2742,592.2790
6.9417,476.8415,590.6750
6.9518,479.4756,589.0310
6.9713,482.1281,587.5898
6.9723,484.8074,585.9656
6.9827,487.4784,584.3317
7.0028,490.0369,582.7078
7.0035,492.5174,581.0215
7.0117,495.0820,579.6093
7.0339,497.5211,578.0509
7.0348,500.0451,576.3968
7.0415,502.6211,574.7008
7.0647,505.1975,572.9099
7.0655,507.8480,571.2925
7.0717,510.4167,569.6412
7.0817,513.0250,567.9404
7.1032,515.6273,566.3332
7.1039,518.1734,564.7624
7.1118,520.6966,563.1134
7.1345,523.2828,561.5103
7.1353,525.8157,559.9565
7.1416,528.3418,558.3818
7.1660,530.9503,556.8239
7.1667,533.5434,555.2965
7.1718,536.1911,553.6952
7.1970,538.7873,552.0627
7.1980,541.3493,550.3592
7.2030,543.9602,548.7490
7.2118,546.4872,547.0632
7.2284,548.9131,545.4708
7.2318,551.3742,544.0342
7.2416,553.8452,542.4177
7.2598,556.3909,540.8578
7.2614,558.9701,539.3111
7.2717,561.5169,537.4918
7.2911,564.1239,535.6777
7.2920,566.7547,534.1669
7.3016,569.2402,532.3362
7.3228,571.7417,530.6039
7.3235,574.2392,529.1602
7.3318,576.7042,527.4213
7.3535,579.2519,525.7471
7.3545,581.7943,524.1834
7.3616,584.2890,522.2917
7.3856,586.8858,520.6217
7.3864,589.5184,519.0749
7.3918,592.0625,517.2160
7.4169,594.8005,515.5597
7.4177,597.4523,513.8879
7.4215,599.9977,512.0840
7.4318,602.6299,510.5476
7.4476,605.2740,508.9291
7.4521,607.8177,506.9965
7.4615,610.4766,505.3770
7.4880,613.0783,503.6744
7.4887,615.6784,501.8654
